Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
515	0.9842	0.1826	99.13	96.14	99.00
516	0.9145	0.1799	99.09	96.00	98.96
517	0.8717	0.1745	99.10	96.00	98.98
518	0.9492	0.1682	99.13	96.11	99.00
519	1.0113	0.1684	99.15	96.13	99.03
520	1.0197	0.1707	99.16	96.19	99.04
521	1.0036	0.1773	99.14	96.17	99.02
522	0.9905	0.1852	99.07	96.05	98.94
523	1.0609	0.1903	99.07	95.98	98.94
524	1.0627	0.1810	99.06	95.97	98.93
525	1.0115	0.1770	99.14	96.03	99.02
526	1.0282	0.1769	99.12	95.94	98.99
527	0.9951	0.1750	99.14	95.95	99.02
528	1.0397	0.1767	99.17	96.17	99.06
529	0.9248	0.1737	99.13	95.94	99.00
530	0.9182	0.1755	99.12	96.00	98.99
531	0.9346	0.1760	99.09	95.91	98.96
532	1.0289	0.1750	99.12	95.93	98.99
533	0.8603	0.1745	99.14	96.10	99.02
534	1.0974	0.1739	99.12	96.09	98.99
535	0.9174	0.1738	99.12	96.14	98.99
536	1.0928	0.1751	99.10	96.06	98.98
537	1.0361	0.1772	99.13	96.09	99.00
538	0.9298	0.1763	99.13	95.95	99.00
539	0.9505	0.1778	99.15	95.96	99.03
540	0.9351	0.1785	99.13	95.94	99.00
541	0.8935	0.1764	99.14	96.01	99.02
542	1.0920	0.1764	99.18	96.09	99.07
543	0.8802	0.1789	99.14	95.97	99.02
544	1.0076	0.1787	99.18	96.12	99.07
545	1.0244	0.1806	99.15	96.10	99.03
546	1.0888	0.1836	99.13	96.07	99.00
547	1.0626	0.1876	99.09	96.04	98.96
548	1.1223	0.1871	99.12	96.13	98.99
549	0.9243	0.1849	99.13	96.14	99.00
550	1.0737	0.1837	99.12	96.16	98.99
551	1.0693	0.1819	99.16	96.19	99.04
552	0.9379	0.1810	99.14	96.17	99.02
553	0.9295	0.1788	99.15	96.17	99.03
554	0.9014	0.1786	99.16	96.10	99.04
555	1.0644	0.1812	99.14	96.15	99.02
556	0.9612	0.1816	99.15	96.18	99.03
557	1.0384	0.1815	99.14	96.09	99.02
558	0.9968	0.1812	99.15	96.09	99.03
559	0.9673	0.1797	99.16	96.12	99.04
560	1.1451	0.1827	99.10	95.94	98.98
561	1.0673	0.1821	99.16	95.98	99.04
562	1.0884	0.1832	99.15	95.97	99.03
